what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941753938
error,log,,,"Exception occurred while creating compilation participant",1340941753940
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941755607
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941755790
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941756771
error,log,,,"Exception occurred while creating compilation participant",1340941756772
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941811198
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941811419
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941811857
error,log,,,"Exception occurred while creating compilation participant",1340941811858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340941881046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340941886716
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941889915
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941889915
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941892489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340941894037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941895012
error,log,,,"Exception occurred while creating compilation participant",1340941895014
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1340941900622
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.performTextSearchProject",1340941900648
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941908080
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941908850
error,log,,,"Exception occurred while creating compilation participant",1340941908852
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1340941944339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941957116
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941958044
error,log,,,"Exception occurred while creating compilation participant",1340941958046
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941959392
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941961555
error,log,,,"Exception occurred while creating compilation participant",1340941961620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340941962156
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941962273
error,log,,,"Exception occurred while creating compilation participant",1340941962275
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941963131
error,log,,,"Exception occurred while creating compilation participant",1340941963133
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340941990742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340941991624
error,log,,,"Exception occurred while creating compilation participant",1340941991625
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340942013699
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340942014584
error,log,,,"Exception occurred while creating compilation participant",1340942014586
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340942016288
