what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342214506976
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1342214508379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214508421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214508582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1342214515086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1342214515955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214519570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214526225
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342214527503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342214528618
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1342214530500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214537866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214544894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342214557264
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1342214559958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214565371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214570431
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1342214573541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214573588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214574731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214581371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342214586026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342214587631
